Cluster,Subcluster,Qualifier,Seed Keyword,Keyword,Intent,Funnel Stage,Search Volume,Keyword Difficulty,CPC,SERP Features,Source,Current Position,Ranking URL,GSC Impressions,GSC Clicks,GSC Position,Notes
Application Management,Application Management,software,application management software,application management software,informational,TOFU,480.0,25.0,23.54,"Sitelinks, Video Carousel, People also ask, Related searches, AI overview",Expansion;GSC;SEMrush,6.0,https://omnipress.com/application-management/,8701.0,1.0,15.0,GSC high impressions page2+
Application Management,Application Management,system,application management software,application management system,informational,TOFU,320.0,27.0,18.45,"Sitelinks, Video, Ads bottom, Video Carousel, Related searches, AI overview",Expansion;GSC;SEMrush,8.0,https://omnipress.com/application-management/,4138.0,1.0,18.66,GSC high impressions page2+
Application Management,Application Management,software + online,application management software,online application software,informational,TOFU,170.0,65.0,14.62,"Sitelinks, Video, Ads bottom, Video Carousel, People also ask, Related searches, AI overview",Expansion;GSC;SEMrush,13.0,https://omnipress.com/application-management/,1798.0,1.0,14.89,GSC high impressions page2+
Application Management,Application Management,,application management software,applications management,informational,TOFU,170.0,32.0,11.76,"Knowledge panel, Sitelinks, Video, Ads bottom, Video Carousel, Related searches, AI overview",GSC;SEMrush,31.0,https://omnipress.com/application-management/,469.0,0.0,54.18,
Application Management,Application Management,platform,application management software,application management platform,informational,TOFU,110.0,17.0,0.0,"Video, People also ask, Related searches, AI overview",Expansion;GSC;SEMrush,3.0,https://omnipress.com/application-management/,2257.0,0.0,8.88,
Application Management,Application Management,,application management software,management application,informational,TOFU,110.0,27.0,7.28,"Video, Ads bottom, Video Carousel, Related searches, AI overview",GSC;SEMrush,31.0,https://omnipress.com/application-management/,704.0,0.0,38.39,GSC high impressions page2+
Application Management,Application Management,,application management software,application management systems,informational,TOFU,110.0,19.0,24.35,"Knowledge panel, Sitelinks, Video Carousel, Related searches, AI overview",GSC;SEMrush,9.0,https://omnipress.com/application-management/,2388.0,0.0,18.9,GSC high impressions page2+
Application Management,Application Management,tool,application management software,application management tools,"commercial, informational",MOFU,90.0,17.0,14.9,"Sitelinks, Video Carousel, People also ask, Related searches, AI overview",GSC;SEMrush,7.0,https://omnipress.com/application-management/,1207.0,0.0,40.34,GSC high impressions page2+
Application Management,Application Management,software,application management software,applications management software,informational,TOFU,70.0,26.0,17.75,"Sitelinks, Video Carousel, Related searches, AI overview",GSC;SEMrush,4.0,https://omnipress.com/application-management/,1735.0,0.0,26.83,GSC high impressions page2+
Application Management,Application Management,software,application management software,application submission software,informational,TOFU,50.0,73.0,0.0,"Knowledge panel, Sitelinks, Video, Ads bottom, People also ask, Related searches, AI overview",Expansion;GSC;SEMrush,2.0,https://omnipress.com/application-management/,1914.0,3.0,17.39,GSC high impressions page2+
